

*******************************************************************************
Ephemeris / WWW_USER Sun Jan 11 21:45:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: OCO-2 (spacecraft) (-140059)    {source: OCO-2}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Feb-02 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Feb-09 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260109.p260407
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JAN-09. PREDICTS-> 2026-APR-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460342.523611111, A.D. 2024-Feb-02 00:34:00.0000,  6.263387338361941E+03, -3.166703692853896E+03, -9.767835339164679E+02,  1.670807808334573E+00,  1.089203836342455E+00,  7.229429548732377E+00,
2460342.524305556, A.D. 2024-Feb-02 00:35:00.0000,  6.350932073005758E+03, -3.095002418967622E+03, -5.413288217661359E+02,  1.246338034616184E+00,  1.300045161878330E+00,  7.280825667390601E+00,
2460342.525000000, A.D. 2024-Feb-02 00:36:00.0000,  6.412844310095842E+03, -3.010802439037064E+03, -1.036727493611393E+02,  8.166794516353971E-01,  1.505686274317703E+00,  7.302779645700864E+00,
2460342.525694444, A.D. 2024-Feb-02 00:37:00.0000,  6.448864995604184E+03, -2.914441118037646E+03,  3.344142190723578E+02,  3.835781395642017E-01,  1.705285619356582E+00,  7.295180286525702E+00,
2460342.526388889, A.D. 2024-Feb-02 00:38:00.0000,  6.458840392423134E+03, -2.806305618867640E+03,  7.711586227263467E+02, -5.120260314628450E-02,  1.898025412260193E+00,  7.258039080231627E+00,
2460342.527083333, A.D. 2024-Feb-02 00:39:00.0000,  6.442722882564044E+03, -2.686831364957146E+03,  1.204791379803899E+03, -4.858899961023481E-01,  2.083115340587949E+00,  7.191490596157818E+00,
2460342.527777778, A.D. 2024-Feb-02 00:40:00.0000,  6.400571301840276E+03, -2.556500284080178E+03,  1.633555167641449E+03, -9.187096190987381E-01,  2.259796150346243E+00,  7.095792234549572E+00,
2460342.528472222, A.D. 2024-Feb-02 00:41:00.0000,  6.332550802344662E+03, -2.415838841185501E+03,  2.055711768796936E+03, -1.347893302994260E+00,  2.427343087529160E+00,  6.971323333220635E+00,
2460342.529166667, A.D. 2024-Feb-02 00:42:00.0000,  6.238932241496083E+03, -2.265415869706215E+03,  2.469549344418052E+03, -1.771687010984491E+00,  2.585069168477998E+00,  6.818583631219467E+00,
2460342.529861111, A.D. 2024-Feb-02 00:43:00.0000,  6.120091099939028E+03, -2.105840212346026E+03,  2.873389596572922E+03, -2.188358651833428E+00,  2.732328254520454E+00,  6.638191099776301E+00,
2460342.530555556, A.D. 2024-Feb-02 00:44:00.0000,  5.976505934062005E+03, -1.937758183744217E+03,  3.265594782062273E+03, -2.596205767728828E+00,  2.868517908874872E+00,  6.430879158573641E+00,
2460342.531250000, A.D. 2024-Feb-02 00:45:00.0000,  5.808756372284194E+03, -1.761850868660544E+03,  3.644574541527340E+03, -2.993563041694419E+00,  2.993082016753536E+00,  6.197493302690880E+00,
2460342.531944444, A.D. 2024-Feb-02 00:46:00.0000,  5.617520667475811E+03, -1.578831270374195E+03,  4.008792509383587E+03, -3.378809572844566E+00,  3.105513152880437E+00,  5.938987172218733E+00,
2460342.532638889, A.D. 2024-Feb-02 00:47:00.0000,  5.403572820865843E+03, -1.389441324839584E+03,  4.356772672202573E+03, -3.750375872090507E+00,  3.205354684154103E+00,  5.656418102340730E+00,
2460342.533333333, A.D. 2024-Feb-02 00:48:00.0000,  5.167779295493401E+03, -1.194448796774121E+03,  4.687105445580366E+03, -4.106750536059058E+00,  3.292202598828514E+00,  5.350942196482611E+00,
2460342.534027778, A.D. 2024-Feb-02 00:49:00.0000,  4.911095339634571E+03, -9.946440742670397E+02,  4.998453442202028E+03, -4.446486562786801E+00,  3.365707057242791E+00,  5.023808968823485E+00,
2460342.534722222, A.D. 2024-Feb-02 00:50:00.0000,  4.634560942646279E+03, -7.908368786914443E+02,  5.289556906676548E+03, -4.768207279019938E+00,  3.425573662695539E+00,  4.676355604962254E+00,
2460342.535416667, A.D. 2024-Feb-02 00:51:00.0000,  4.339296447295506E+03, -5.838529066883541E+02,  5.559238795692580E+03, -5.070611855465957E+00,  3.471564454424890E+00,  4.310000890811321E+00,
2460342.536111111, A.D. 2024-Feb-02 00:52:00.0000,  4.026497843871494E+03, -3.745304207802533E+02,  5.806409485067849E+03, -5.352480392904513E+00,  3.503498627725576E+00,  3.926238859848746E+00,
2460342.536805556, A.D. 2024-Feb-02 00:53:00.0000,  3.697431772218216E+03, -1.637168047882642E+02,  6.030071088254500E+03, -5.612678568452874E+00,  3.521252988923994E+00,  3.526632207757830E+00,
2460342.537500000, A.D. 2024-Feb-02 00:54:00.0000,  3.353430258286788E+03,  4.773490030800849E+01,  6.229321373756070E+03, -5.850161837301028E+00,  3.524762155171898E+00,  3.112805521307618E+00,
2460342.538194444, A.D. 2024-Feb-02 00:55:00.0000,  2.995885211923362E+03,  2.589694650828892E+02,  6.403357271644735E+03, -6.063979190694164E+00,  3.514018510757772E+00,  2.686438365213140E+00,
2460342.538888889, A.D. 2024-Feb-02 00:56:00.0000,  2.626242712412256E+03,  4.691329307097863E+02,  6.551477961889669E+03, -6.253276475690872E+00,  3.489071932838624E+00,  2.249258266818705E+00,
2460342.539583333, A.D. 2024-Feb-02 00:57:00.0000,  2.245997107837358E+03,  6.773760448999280E+02,  6.673087539475201E+03, -6.417299286129809E+00,  3.450029300153873E+00,  1.803033633963982E+00,
2460342.540277778, A.D. 2024-Feb-02 00:58:00.0000,  1.856684953658247E+03,  8.828576621211614E+02,  6.767697253272248E+03, -6.555395437204314E+00,  3.397053798404762E+00,  1.349566636524055E+00,
2460342.540972222, A.D. 2024-Feb-02 00:59:00.0000,  1.459878815080913E+03,  1.084748096300256E+03,  6.834927317310790E+03, -6.667017038014757E+00,  3.330364035599104E+00,  8.906860770807119E-01,
2460342.541666667, A.D. 2024-Feb-02 01:00:00.0000,  1.057180956897682E+03,  1.282232414992477E+03,  6.874508294481158E+03, -6.751722177426624E+00,  3.250232979819247E+00,  4.282402712022277E-01,
2460342.542361111, A.D. 2024-Feb-02 01:01:00.0000,  6.502169435374855E+02,  1.474513664718772E+03,  6.886282053777342E+03, -6.809176238531681E+00,  3.156986730639657E+00, -3.591004690369726E-02,
2460342.543055556, A.D. 2024-Feb-02 01:02:00.0000,  2.406291711636098E+02,  1.660816017803875E+03,  6.870202303008629E+03, -6.839152856054656E+00,  3.051003133877749E+00, -4.998987818463649E-01,
2460342.543750000, A.D. 2024-Feb-02 01:03:00.0000, -1.699296471622836E+02,  1.840387831579569E+03,  6.826334699480113E+03, -6.841534529267587E+00,  2.932710247603226E+00, -9.618614897025562E-01,
2460342.544444445, A.D. 2024-Feb-02 01:04:00.0000, -5.798030229357780E+02,  2.012504611244563E+03,  6.754856541519146E+03, -6.816312900501872E+00,  2.802584665449519E+00, -1.419942340775447E+00,
